Video ID,Author,Comment,Likes,Published At
Th06918VpjA,@KienPhaminTaiwan,S24 thị trường Đài Loan là Qualcomm Snapdragon 8 Gen 3,0,2024-06-07T15:57:37Z
Th06918VpjA,@Wain_ar,Con này nhỏ gọn đẹp nhưng thấy đắt vch,0,2024-05-21T11:11:12Z
Th06918VpjA,@SupNguyenXD,"tony phung studio 2024 , man hinh nhat. nhoa qua nha",0,2024-05-19T20:55:10Z
Th06918VpjA,@ThươngHoang-j6y,Mình thì đang dùng s24 8gen3,0,2024-05-08T14:08:47Z
Th06918VpjA,@qcihha,samsung lâu lâu nó cứ như chơi thuốc ấy 🥹🥹 như tự vả vào mặt người dùng,0,2024-04-23T01:32:26Z
Th06918VpjA,@trarishin2762,giống ip12 :D,0,2024-04-17T10:15:07Z
Th06918VpjA,@Cacavn,cái mình không thích là copy Y chang iphone :)),1,2024-04-10T10:48:26Z
Th06918VpjA,@phuoc_travel_food,IPHONE S24 KK,0,2024-04-09T15:05:29Z
Th06918VpjA,@phuc5344,tiếc thật,0,2024-04-09T09:34:25Z
Th06918VpjA,@UVA_MicroExfoliant,May quá bản nước ngoài vẫn có Snapdragon,0,2024-04-07T07:24:02Z
Th06918VpjA,@LongNguyen-bw3ch,Đang sài s23+ ngoài đẹp ra pin trâu kinh khủng.,4,2024-04-01T05:19:21Z
Th06918VpjA,@LongNguyen-bw3ch,"Nếu k nâng được lên 8-g3 thì để  8g2 ok rồi, có cái ram lên tầm lấy 10g thay đổi thiết kế nữa. Thật samsung bỏ luôn chíp ê xi nót đi k gắn mấy dòng a tầm thấp ấy. Đổ bao nhiêu tiền vào nhiên cứu, cuối cùng từ s1 tới nay cứ nhắc e xê nót ai cũng nản",0,2024-04-01T05:16:41Z
Th06918VpjA,@ToanPham-lp1nm,S23 22 dễ chóc sơn khung viền,3,2024-03-31T13:57:58Z
Th06918VpjA,@hieubui0206,Sao mặt lưng y hệt con A35 và A54 vậy ? Trừ điểm,2,2024-03-31T09:30:27Z
Th06918VpjA,@LongNguyễn-v7k,"hèn gì top sản phẩm toàn cầu năm nào samsung toàn mấy con tầm trung, còn cao cấp ko có mặt con nào :)) đã dòng S rồi vẫn ram 8gb chip quá phèn. s24 chỉ 1 chữ đẹp :)) hết",0,2024-03-31T06:15:31Z
Th06918VpjA,@tintranvan1301,"viền nó quá mỏng nhìn bớt đẹp đi, kiểu a54 s23fe trông nó tiệp hơn",0,2024-03-27T06:16:36Z
Th06918VpjA,@HaiLong94,Samsung sẽ hẹn con chip đó ở s25,0,2024-03-26T16:52:45Z
Th06918VpjA,@NinNguyễn-v7w,"Tiết lôz gì, nó cố tình làm vậy để lùa gà thôi, chứ cỡ nào nó làm hông được mà 8gen3 đồ, bởi vậy ntd họ khôn lắm, chờ rớt giá mới mua, hông thôi😅",0,2024-03-24T12:34:58Z
Th06918VpjA,@CuongNguyen-ru8cd,Đẹp thôi chưa đủ haha,0,2024-03-23T11:07:48Z
Th06918VpjA,@masoidanh,"Tôi tính mua  S24+ mà chip bèo >> hao pin ,  quay video nóng là thấy thất vọng. 😢",2,2024-03-23T10:26:21Z
Th06918VpjA,@PhamTangQuang0112,Giờ cần con nhỏ nhất mà pin trâu. Chỉ có con Xiaomi 14 thôi. Mà Xiaomi hay trể thông báo quá. Sài con Xiaomi 13 rom quốc tế mà toàn trể😢,0,2024-03-23T08:01:00Z
Th06918VpjA,@HoangNamHoangNam9,Công nghệ mở khóa khuôn mặt của samsung tốt hơn nữa thì ko thua iphone đâu 😂😂❤❤,0,2024-03-17T13:44:28Z
Th06918VpjA,@HoangNamHoangNam9,Chất lượng phần cứng samsung xứng tầm so sánh với iphone ❤❤,1,2024-03-17T13:36:18Z
Th06918VpjA,@HoangNamHoangNam9,Cho samsung cơ hội làm chíp và phần mềm riêng đi chứ ❤❤,1,2024-03-17T13:35:40Z
Th06918VpjA,@DuyNguyen-ho9en,"Samsung nên làm như apple, dùng chip 8gen2 cho S24 và S24 plus",0,2024-03-17T05:14:41Z
Th06918VpjA,@haohv3cmu-tpcmu-142,Pin thì quá ngon sài tới chiều 17h mới hết. Chỉ khi chơi game liên quân hơi tệ.,3,2024-03-14T07:03:52Z
Th06918VpjA,@chienle5526,"Má, ngoại hình nó đẹp hơn s23 nhiều. Nên vẫn cắn răng mua s24+ và bỏ game ,:))",1,2024-03-12T15:24:37Z
Th06918VpjA,@minhuclengoc8841,Năm sau s25 nghe nói là Samsung sẽ dùng toàn bộ chip exynos ở thị trường việt nam chứ k còn dùng chip snapdragon nữa,2,2024-03-11T11:42:36Z
Th06918VpjA,@TàiHiếunè,Lúc trc khen Exynos 2100 lắm mà đột phá lắm mà sao h chê 😂😂😂😂😂😂,1,2024-03-11T09:08:11Z
Th06918VpjA,@Tienhieptrungquoc,ns chung nhìn thôi nó cũng khác hẳn mấy con đth tàu rác =)),1,2024-03-11T05:38:08Z
Th06918VpjA,@tuankhoile8690,mua s24 bản mỹ sài s8g3 oke hơn,1,2024-03-11T04:17:55Z
Th06918VpjA,@ĐặngTrườngTín,Pin gì sài 1 tiếng thì chịu,0,2024-03-11T03:26:51Z
Th06918VpjA,@vohoangluan1535,"Nói thật, android 8gb chán dã man, tầm 3 app dùng qua lại, đã reload",0,2024-03-11T03:20:04Z
Th06918VpjA,@LinhTrần-t7z,Viền màn hình mỏng như s24p ko a phùng,0,2024-03-10T23:52:54Z
Th06918VpjA,@Myae234,"chờ mãi s24+ để định lên đời thì nó đáp ngay con exynos vào mặt, dẹp xài tạm s23 chờ s25 vậy",0,2024-03-10T16:42:19Z
Th06918VpjA,@quachque8889,Đang đợi S25,1,2024-03-10T16:21:54Z
Th06918VpjA,@cáibát5.0,Đưa Exynos cho TSMC gia công là ngon liền😂😂😂😂,2,2024-03-10T15:54:36Z
Th06918VpjA,@TTuansegay,"Mình pass trực tiếp tại HN s24 đen 8/128 sạc vài lần như new bản canada chip 8 gen 3, 15m.",5,2024-03-10T15:53:40Z
Th06918VpjA,@boxhn3914,Ae tư vấn mua s23+ 13promax hay 14+  với,1,2024-03-10T15:39:24Z
Th06918VpjA,@hieunguyentrung4875,"S22 đã flop rồi, S23 đang làm tốt. Đến con S24 lại flop vì con chip nữa. Chắc muốn dồn doanh số cho Ultra nên làm bản base như cớt vậy. 2024 rồi còn ram 8gb, pin thì gần như k nâng cấp trong khi chip lại cải lùi",6,2024-03-10T15:28:31Z
Th06918VpjA,@quanhai119,"16cu sạc 25w,ram 8g 😄",0,2024-03-10T15:11:25Z
Th06918VpjA,@lochuynh8798,Mới trải nghiệm con S24ultra lúc chiều ngoài tgdd...công nhận camera ngon thật..nhưng có 1 cái là zoom 30x và zoom 100x ảnh bị AI can thiệp xử lý nhiều quá nhìn không tự nhiên nữa...,1,2024-03-10T15:07:09Z
Th06918VpjA,@Enzo_Fernandez08,"Có ô trong hội S24/24+/24U nhờ ng thân xách dc bản Mỹ con này về xài khen sướng dã man,xài tốt hơn con phế vật chính hãng Exynos",0,2024-03-10T14:30:51Z
Th06918VpjA,@mjhieusuper,"Scam Sung mà, human kind must avoid Exynos at all cost 😅",0,2024-03-10T13:54:23Z
Th06918VpjA,@phuocle900,"Pin gì mà 4 tiếng trời, thua cả con ip xs lỏ của mình 😂😂😂😂",5,2024-03-10T13:40:33Z
Th06918VpjA,@haimai9447,"Đang xài s23 đây, ngon hẳn",6,2024-03-10T13:38:55Z
Th06918VpjA,@diwhiwkiwjiw,"Một điểm trừ gần như đánh bay mọi điểm cộng , vì điểm trừ đó dễ ảnh hưởng đến mọi điểm cộng khác😂",40,2024-03-10T13:08:30Z
Th06918VpjA,@HangNguyen-zh2ql,Em dùng s23+ thấy ổn quá tr 😂. Mỗi tội tìm phụ kiện ốp lưng hơi khó 😢,0,2024-03-10T12:57:17Z
Th06918VpjA,@thugame9283,Thà dùng s23 😊😊,0,2024-03-10T12:55:58Z
Th06918VpjA,@HoangKiêu-n9f,❤🎉❤,0,2024-03-10T12:48:45Z
Th06918VpjA,@Chuyen_Gia_Cong_Nghe,"Giờ đi chơi,đi cafe vs gái phải xài 15 pro max như tao này Đưa lên nghe gọi,đặt lên bàn,nhìn mới sang trọng đẳng cấp Gái nó mới nể",0,2024-03-10T12:45:57Z
HYXpZ9ApNNk,@duyluandethuong,Đặt ngay Galaxy S24 Series - Nhận bộ quà cực khủng: https://cellphones.com.vn/mobile/samsung/galaxy-s/s24-series.html?utm_source=pr&utm_medium=DuyLuan&utm_campaign=mobile/samsung/galaxy-s/s24-series.html_20012024,3,2024-01-18T03:47:19Z
HYXpZ9ApNNk,@YTB3r,"Cho mình hỏi. S24 pin tầm 12h ( check zalo, xem Youtube tầm 30', nghe gọi.) không ạ?",0,2025-12-03T01:27:42Z
HYXpZ9ApNNk,@anhgiang2002,"Anh cho em hỏi s24 bản thường sài thanh điều hướng vuốt lên, lướt fb giống bị lỗi màn hình đen á...như thế có bị lỗi hok ạ",0,2025-04-24T13:35:00Z
HYXpZ9ApNNk,@vongnguyetchimieu1409,Xét tổng thể con này hơn oppo reno 13 kg a e,0,2025-04-22T11:06:24Z
HYXpZ9ApNNk,@LâmNguyễn-n7v9m,"Sam sung tối thiết kế hết sáng tạo, từ dòng rẻ tiền hay dòng trầm trung hay dòng cao cấp điều cũng có thiết kế giống nhau",0,2024-10-29T08:02:45Z
HYXpZ9ApNNk,@nambinh4047,Mới mua dc 2 tháng quanh viền cam sau đã hơi bong,0,2024-10-11T06:04:01Z
HYXpZ9ApNNk,@AnhThu-b2t,Giọng nói nghe dễ chịu ghê.,0,2024-07-15T15:25:17Z
HYXpZ9ApNNk,@ThươngHoang-j6y,Mình đã mới lượm về.. 1 chiếc điện thoại hoàn hảo.. Mình thích vì nó có 4 viền đều mỏng đều nhau..mình đang dùng là Snapdragon 8gen 3..,0,2024-05-14T11:11:45Z
HYXpZ9ApNNk,@HoangHa-xo5rw,"Nói chung chíp exynos là chán rồi, dùng thử mấy con s cũ chip exynos nó chán mà k bền.",0,2024-02-14T13:27:30Z
HYXpZ9ApNNk,@nguyenngocquang8878,"Viền mate nhìn kém sang hơn bóng chứ,",0,2024-02-14T04:38:03Z
HYXpZ9ApNNk,@Huynhduc1997,Dùng oki đang dùng đây,0,2024-02-07T20:33:02Z
HYXpZ9ApNNk,@Khamphathegioi91,Khung viền của s24 năm nay đã được làm vát phẳng thay vì bo cong như s23 năm ngoái 1 thay đổi lớn về thiết kế như vậy sao bạn ko hề nhắc đến???,1,2024-01-20T02:15:08Z
HYXpZ9ApNNk,@tranty1966,Sạc 25w trong khi đt TQ phổ cập sạc 120w,0,2024-01-19T13:24:34Z
HYXpZ9ApNNk,@hankisel4143,K ai nhắc việc ss đã hỗ trợ cập nhật hđh lên đến 7 năm ha,1,2024-01-19T07:24:19Z
HYXpZ9ApNNk,@poweredbyandroid2023,"con chip mặc dù là cũng rất mạnh đấy, nhưng snapdragon vẫn khiến ae tin tưởng hơn",1,2024-01-19T04:32:19Z
HYXpZ9ApNNk,@ngauhung7042,Thiết kế giống iphone quá đã 😂,0,2024-01-19T04:12:56Z
HYXpZ9ApNNk,@TuanAnhNguyen-oi1rp,mình mua dc s24 thường trên lazada 13m5 có ok nhỉ. thấy ae chê Exynos rén quá,1,2024-01-19T02:17:46Z
HYXpZ9ApNNk,@Karihaya,"Năm nào cũng ra mắt pr rầm rộ, mua về sài sọc mh liên tục, 22+ và 23+ t mua đều như v.",3,2024-01-19T02:15:34Z
HYXpZ9ApNNk,@Wain_ar,"Ra 24,24 plus chỉ để làm chim mồi cho s24 utral thôi . Bản utral vẫn bán chạy nhất",2,2024-01-19T01:49:01Z
HYXpZ9ApNNk,@Mystic_hv,Nhìn tới nhìn lui lại thấy giống ai phôn 😂,1,2024-01-19T01:24:45Z
HYXpZ9ApNNk,@FleslyD,nhìn đẹp thực sự,1,2024-01-18T21:26:36Z
HYXpZ9ApNNk,@vietanhha8753,Rồi sao ko giữ nguyên con 8 gen 2 chứ lên Exynos chi trời 😅,1,2024-01-18T16:32:45Z
HYXpZ9ApNNk,@ying189,Năm nay duy luân có đổi s24 nhỏ không,1,2024-01-18T16:10:36Z
HYXpZ9ApNNk,@phongtruong1224,"Nhìn đẹp hơn hẳn, nhưng lại nhồi con chip Exynos à?",1,2024-01-18T15:07:19Z
HYXpZ9ApNNk,@Newbie.Trader996,Cũng chỉ là chiếc điện thoại thôi chẳng có gì khác so với a23 cùi tui đang dùng thật,1,2024-01-18T14:16:34Z
HYXpZ9ApNNk,@trantrungdiep1,"Không biết có shop nào nhập con S24 bản Âu, Mỹ không nhỉ ? Bỏ ra mấy chục triệu mua con đt dùng Exynos thấy ngu ngu thật",1,2024-01-18T12:45:48Z
HYXpZ9ApNNk,@uocnguyenminh1620,Đẹp quá,1,2024-01-18T12:14:48Z
HYXpZ9ApNNk,@Nguoithanhnam1207,"Dòng cao cấp thì thiết kế nó p khác khác đi so vs tầm trung chứ, lại giống mấy dòng A thì nói làm gì",5,2024-01-18T09:56:56Z
HYXpZ9ApNNk,@nguyenvanminhofficial592,Galaxy S24-24+ ngon tất cả nhưng thất bại ở con chip 😩 và sẽ thất bại toàn tập cho bộ đôi này,1,2024-01-18T09:44:49Z
HYXpZ9ApNNk,@nguyen0910,Exynos =))))))))))),1,2024-01-18T09:23:14Z
HYXpZ9ApNNk,@AnNguyen-pm9yh,Anh làm về one ui 6.1 trên s24 series đi ạ.,1,2024-01-18T09:11:38Z
HYXpZ9ApNNk,@thanhchinh5047,Samsung s24 Ultra có ra đâu mà quảng cáo tên này hay cau view khi nào có mới nói nhé,1,2024-01-18T08:01:29Z
HYXpZ9ApNNk,@huynhthang97722,"Chắc là chip sẽ cỡ Dimensity 8200 ultra, mà con Dimensity có khi ổn định hơn con Exynos ""Lỏ"" này",3,2024-01-18T07:56:28Z
HYXpZ9ApNNk,@harryanderson863,Ko biết vân tay vs quét khuôn mặt có bị chập chờn như S23 ko nữa :(( thất vọng DT Samsung vcc,1,2024-01-18T07:54:18Z
HYXpZ9ApNNk,@cuongdang8505,Giá chơi sòng phẳng chứ đừng niêm yết 23tr cho s24 8/256 để rồi kèm đống quà lên đến gần 10tr. Khi kh ko lấy quà thì trừ đi vài triệu. Và rồi sau vài tháng ra mắt loanh quanh 13 - 15tr.,4,2024-01-18T07:50:55Z
HYXpZ9ApNNk,@phamthanhphong5535,"Thiết kế này vuông vuông giống iphone, nhìn có vẽ đẹp lắm. ĐÃ QUÁ SÁMUNG ƠI❤",1,2024-01-18T07:20:42Z
HYXpZ9ApNNk,@tranvandam3012,"Có tiền thì nói dễ chọn thôi, có tiền cứ ultra thôi",2,2024-01-18T07:14:50Z
HYXpZ9ApNNk,@nghialuutrong7717,"Tôi chả thấy cái khung viền nó sang ở chỗ nào ae à, vs tôi nhìn khung thép vẫn sang hơn",2,2024-01-18T06:53:25Z
HYXpZ9ApNNk,@Phuc_14,"Rồi cũng phải học hỏi thiết kế trào lưu phẳng,vuông cạnh của Apple!Nhưng thiết kế màn hình và camera vẫn đẹp hơn Apple!Nhưng để đánh đổi bằng công nghệ Face Id đỉnh cao thì ae Apple fans nên chấp nhận thôi!Công nhận Samsung làm máy đẹp thật!",3,2024-01-18T06:41:56Z
HYXpZ9ApNNk,@assey79tienhiend12,Con ultra nam nay dep khủng hoang luon Luân oi . dang dung 15pm mà phai khen S24 ulra😂😂😂,1,2024-01-18T05:50:56Z
HYXpZ9ApNNk,@mlemofficial,"Thiết kế này quá đẹp,lấn cấn mỗi chỗ cpu",2,2024-01-18T05:29:06Z
HYXpZ9ApNNk,@Phuocnv_dn,Hết cái khen 😂,1,2024-01-18T05:20:09Z
HYXpZ9ApNNk,@HieuNguyen-zw2iw,Nghe đâu vẫn sài tấm nền với pwm là 240hz. Thôi đôi mắt của tôi vẫn phải trung thành với apple,1,2024-01-18T05:10:38Z
HYXpZ9ApNNk,@kientrung3017,Vl exinoy trên dòng S luôn ạ 😢,2,2024-01-18T05:06:51Z
HYXpZ9ApNNk,@caubenhanong,Có chuyển hình ảnh video từ iphone 15prm sang ss s24 bằng cáp tyC ko ạ,3,2024-01-18T05:06:13Z
HYXpZ9ApNNk,@Feelinguia,Nhìn như mấy con A vậy trời,2,2024-01-18T05:03:30Z
HYXpZ9ApNNk,@typ1469,tái sử dụng con 8gen2 năm ngoái còn ngon hơn con exynos này 😢,3,2024-01-18T04:46:56Z
HYXpZ9ApNNk,@Georgye62,Nói thật chứ thấy thay con snap cho dòng thường là ko ưa r,1,2024-01-18T04:42:38Z
HYXpZ9ApNNk,@fernandez6078,Exynos cái *** thôi chắc đi mua s23 cho rẻ có 8gen2 sd mình từng Sài s21 exynos tức ói nó ko ổn định,3,2024-01-18T04:37:04Z
HYXpZ9ApNNk,@chien.nguyen.,exynos thì vứt dù tôi không chơi game những cũng trải nghiệm qua cái pin hẹo đơ lag của exynos trc rồi năm nay bỏ qua hết không nâng gì cả đợi s25,3,2024-01-18T04:35:06Z
HYXpZ9ApNNk,@nguyenucvinh1199,Đang xem trên note 20ultra ... 😂😂,1,2024-01-18T04:32:55Z
HYXpZ9ApNNk,@DucNguyen-vo1zn,"Về lý thuyết dòng plus pin phải hơn untra, mà ss lại bóp e nó để hướng ng mua đến untra😢😢",2,2024-01-18T04:24:28Z
HYXpZ9ApNNk,@angcuong8468,Quan trọng con exynos 2400 này có tối ưu hóa về pin kg chứ như con s21+ đang xài thì trải nghiệm khá tệ :(,1,2024-01-18T04:21:06Z
HYXpZ9ApNNk,@vanphuonglo1173,"S24, S24+ nhìn qua giống máy giá rẻ quá😢",3,2024-01-18T04:15:26Z
HYXpZ9ApNNk,@vanhieu1310,Đang lẽ nên trang bị con Exynos ở dòng s24 thôi nếu ổn thì năm sau mới trang bị cho tiếp dòng plus . đang dùng s23plus tính lên s24plus để trải nghiệm cái Ai mà thấy chip Exynos nên hơi phân vân,4,2024-01-18T03:48:02Z
HYXpZ9ApNNk,@dutube9,Exynos cho S24 Plus thì nghỉ mua luôn!,1,2024-01-18T03:24:12Z
HYXpZ9ApNNk,@hello.iamdunmc,Thấy mua s23 vẫn đáng hơn:),4,2024-01-18T03:14:36Z
HYXpZ9ApNNk,@longdhb,+1 s24 tuy nhiên có kinh phí đổi đt sẽ mua iphone.,2,2024-01-18T03:12:50Z
HYXpZ9ApNNk,@dacthanhtran5838,Đáng ra chỉ nên exynos cho s24 thôi plus với ultra là dragon.,3,2024-01-18T03:04:43Z
HYXpZ9ApNNk,@kaz.sieghart,"S24/S24+ bản US/Canada dùng 8 Gen 3, bản quốc tế dùng Exynos chán thật",1,2024-01-18T02:56:49Z
HYXpZ9ApNNk,@cuongtaduc1236,Không biết Snap 8g3 với exynos 2400 có đc làm mạnh NPU cho AI k mà vẫn phải đẩy lên cloud làm mấy vụ AI nhỉ. Nếu đẩy lên vậy thì mong dòng thấp như S23 vẫn được cập nhật trong One UI mới để dùng =)),3,2024-01-18T02:38:01Z
HYXpZ9ApNNk,@cuongtaduc1236,"chip exynos, viền nhôm, màn full HD, mong là S24 thật rẻ để cạnh tranh :v",4,2024-01-18T02:32:43Z
HYXpZ9ApNNk,@duykhanh1ecn,Sau tết sẽ mua s23 :D,2,2024-01-18T02:32:10Z
HYXpZ9ApNNk,@KSRoacher,"Sao lại để đèn flash như mấy con A với M, chán thật",1,2024-01-18T02:29:45Z
HYXpZ9ApNNk,@anhthuo290,S24 plus chưa có viền titian ạ?,1,2024-01-18T02:23:52Z
HYXpZ9ApNNk,@coocvuong1630,mình đi hàn toàn thấy người hàn xài iphone =)),3,2024-01-18T02:10:58Z
HYXpZ9ApNNk,@Le_Picas,"Dòng note cho mấy ô lão xài,nhìn vừa xấu vừa bần ko khác gì sony",1,2024-01-18T01:52:41Z
HYXpZ9ApNNk,@quynguyenngoc339,"Mặt lưng giống y chang dòng A giá rẻ. Thà nó thiết kế  kéo dài cái đèn flash ra nhìn nó có điểm khác biệt hơn. Đời s23 nhìn khó phân biệt với các dòng thấp, giờ nó ra con s24 để khỏi phân biệt luôn. Dự đoán s23 sẽ giữ giá hoặc có thể tăng giá vì exynos của s24",3,2024-01-18T01:42:27Z
HYXpZ9ApNNk,@elonnguyen2026,Lại exynos à,3,2024-01-18T01:40:52Z
HYXpZ9ApNNk,@minhhainguyen7017,"thế giới ng ta ra s24 ultra r, tui vẫn con xài note20 thời nhà Tần :))))",1,2024-01-18T01:40:13Z
HYXpZ9ApNNk,@trinhanhkhoi27,Học thói xấu Apple xài chip yếu cho dòng thường :))),47,2024-01-18T01:34:22Z
HYXpZ9ApNNk,@khanhhoa91,Exynos 😢,1,2024-01-18T01:13:57Z
GntJXsOLU10,@relab2015,🔗 Tham khảo tại đây: https://www.xtmobile.vn/samsung-galaxy-s24-s24-ultra?utm_source=youtube&utm_medium=relab&utm_campaign=galaxy-s24-3-2024,3,2024-04-05T04:08:03Z
GntJXsOLU10,@SonDuoncngoc,Galaxts24 ultral quá tệ không nên mua,0,2026-03-02T21:59:43Z
GntJXsOLU10,@trieutulong2610,Làm clip đánh giá lại con s24u với 25u đi bác sau khi cập nhật one ui 8 AI nữa bác😅,0,2025-10-19T14:58:54Z
GntJXsOLU10,@dovu6963,Cam note20u di doi s24 toi chung man hinh xau bo me ko doi nua,0,2025-02-22T14:48:59Z
GntJXsOLU10,@ngoc-ngoc-999,Dùng app tiếng nước ngoài có dịch được cả trang k nhỉ,0,2025-02-17T00:54:37Z
GntJXsOLU10,@linhphamngoc1380,like,0,2024-12-17T19:27:00Z
GntJXsOLU10,@thangbuinguyenviet9788,Tối ưu hoá app t3 apple nó ỉa lên đầu toàn bộ androi phone,0,2024-12-10T03:48:07Z
GntJXsOLU10,@NguyênNguyễn-h1e4p,Mình thích samsung s25 ultra,0,2024-11-29T08:34:53Z
GntJXsOLU10,@huehy3660,Này mà logo sony la chất lắm luôn,0,2024-10-31T08:35:11Z
GntJXsOLU10,@lelongdaklak,😅Mua S24U vì màn hình phẳng. Và nó ngon thật.,0,2024-10-24T11:41:48Z
GntJXsOLU10,@HaiThanh-uu7dt,S24 untra dùng quá đã.,1,2024-10-13T13:46:39Z
GntJXsOLU10,@nraughmoobyaj7809,giới thiệu con nào từng giá 23tr chơi game ok,0,2024-10-02T15:48:10Z
GntJXsOLU10,@hikaru2512,Mình có iPhone 11 pro max 512 gb có nên đổi sang ultra 24s không mọi người?,0,2024-09-23T03:21:25Z
GntJXsOLU10,@buithieu.,bản mỹ có ghi âm không nhỉ,0,2024-09-07T07:08:19Z
GntJXsOLU10,@NhatMinh.986,Quả thật pin trên Samsung S24u rất trâu.còn sạc nhanh thì 25w là đủ.,0,2024-08-17T14:42:52Z
GntJXsOLU10,@hunginhthibich4564,s24 ultra manh on 15 pro max ma,0,2024-08-10T13:58:48Z
GntJXsOLU10,@namchua1992,"Samsung có thể ko ngon nhưng ít nhất nó xếp thư 2 ,còn ai thích chơi game thì chọn xiao mi",0,2024-08-04T15:31:35Z
GntJXsOLU10,@WS_Hoang,đỉnh,0,2024-07-26T08:24:34Z
GntJXsOLU10,@thacsybacsi,thật ra dùng note 20 ultra bản hàn cũng k cần nâng lên :)))),2,2024-07-26T03:06:27Z
GntJXsOLU10,@TuyenTruong-cp8cj,S24 này có phần định vị  icluo như iphone ko,0,2024-07-24T22:42:49Z
GntJXsOLU10,@ngocnguyenthe279,Nói 1 thôi 1 hồi chung quy lại vẫn k theo nổi ip :)) quá chán,0,2024-07-24T05:13:37Z
GntJXsOLU10,@nvtentertainment4098,màn hình đẹp vãi,0,2024-07-19T06:11:11Z
GntJXsOLU10,@VănMếnLê-p2c,Sao thế giới di dong bán tới 33 tr vậy,0,2024-06-20T04:14:49Z
GntJXsOLU10,@HưngMai-n8u,Mọi người ơi Không biết s24 untra có ăn được con nova 5t của mình không nha,1,2024-06-16T03:31:53Z
GntJXsOLU10,@trunggia7278,Tại sao tôi đọc báo mà Ai ko dịch đc ra lad sao ạ,0,2024-06-06T08:44:33Z
